,,,,,,Total of Displayed Rows,,,"145,106,561","691,533","145,798,094","147,609,685","65,462,721","213,072,406","219,868,448","124,897,313","344,765,761",
Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2025 Actuals,FY 2025 Reconciliation,FY 2025 Total,FY 2026 Discretionary Enacted,FY 2026 PL 119-21 Spend Plan,FY 2026 Total,FY 2027 Discretionary Request,FY 2027 Mandatory Request,FY 2027 Total,Classification
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,50,0603330D8Z,Quantum Application,Y,"23,401",,"23,401","58,723",,"58,723","60,333",,"60,333",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,51,0603331D8Z,Future Generation Wireless Technologies,Y,,,,,,,"5,000",,"5,000",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,52,0603342D8Z,Defense Innovation Unit (DIU),Y,"134,797",,"134,797","140,000","1,735,861","1,875,861","522,559",,"522,559",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,53,0603375D8Z,Technology Innovation,Y,"57,222",,"57,222","19,460",,"19,460","982,694",,"982,694",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,54,0603379D8Z,Advanced Technical Integration,Y,"25,118",,"25,118","29,576",,"29,576","79,268",,"79,268",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",CBDP,03,Advanced technology development,55,0603384BP,Chemical and Biological Defense Program - Advanced Development,Y,"230,200",,"230,200","241,043",,"241,043","310,308",,"310,308",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,56,0603467E,DARPA Advanced Technology Development,Y,,,,"1,528,100","90,000","1,618,100","1,568,124",,"1,568,124",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,57,0603468E,Advanced Complex Systems,Y,,,,"263,461",,"263,461","540,362",,"540,362",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,58,0603469E,Advanced Enabling Technologies,Y,,,,"317,460","20,000","337,460","331,007",,"331,007",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,59,0603618D8Z,Joint Electronic Advanced Technology,Y,"16,868",,"16,868","20,438",,"20,438","49,083",,"49,083",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,60,0603662D8Z,Networked Communications Capabilities,Y,"22,199",,"22,199","19,658","65,000","84,658","696,297",,"696,297",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,61,0603669D8Z,Microelectronics Commons - Advanced Technology Development (ATD),Y,"265,108",,"265,108",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,62,0603680D8Z,Defense-Wide Manufacturing Science and Technology Program,Y,"198,845",,"198,845","555,108","1,493,556","2,048,664","581,847",,"581,847",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DLA,03,Advanced technology development,63,0603680S,Manufacturing Technology Program,Y,"96,886",,"96,886","176,593",,"176,593","49,787",,"49,787",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DLA,03,Advanced technology development,64,0603712S,Generic Logistics R&D Technology Demonstrations,Y,"17,900",,"17,900","23,640",,"23,640","18,791",,"18,791",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,65,0603716D8Z,Strategic Environmental Research Program,Y,"57,478",,"57,478","57,575",,"57,575","60,774",,"60,774",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DLA,03,Advanced technology development,66,0603720S,Microelectronics Technology Development and Support,Y,"133,103",,"133,103","211,331","151,996","363,327","139,923",,"139,923",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,67,0603727D8Z,Joint Warfighting Program,Y,"2,586",,"2,586",932,,932,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,68,0603739E,Advanced Electronics Technologies,Y,"148,382",,"148,382",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,69,0603760E,"Command, Control and Communications Systems",Y,"591,042",,"591,042",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,70,0603766E,Network-Centric Warfare Technology,Y,"838,984",,"838,984",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,03,Advanced technology development,71,0603767E,Sensor Technology,Y,"259,283",,"259,283",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,72,0603781D8Z,Software Engineering Institute,Y,"16,360",,"16,360","12,789",,"12,789","10,227",,"10,227",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,73,0603834D8Z,Biosurveillance Program Advanced Technology Development,Y,,,,,,,"9,800",,"9,800",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,74,0603838D8Z,Defense Innovation Acceleration (DIA),Y,"160,928",,"160,928","211,541","348,860","560,401","310,977",,"310,977",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,75,0603924D8Z,High Energy Laser Advanced Technology Program,Y,"109,517",,"109,517","120,763",,"120,763","201,125",,"201,125",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,76,0603941D8Z,Test & Evaluation Science & Technology,Y,"304,567",,"304,567","961,052","713,000","1,674,052","3,834,080",,"3,834,080",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,77,0603945D8Z,International Innovation Initiatives,Y,"54,234",,"54,234","181,497",,"181,497","158,345",,"158,345",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,78,0603950D8Z,National Security Innovation Network,Y,"1,586",,"1,586",,"21,202","21,202",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,03,Advanced technology development,79,0604055D8Z,Operational Energy Capability Improvement,Y,"152,656",,"152,656",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",SOCOM,03,Advanced technology development,80,1160402BB,SOF Advanced Technology Development,Y,"190,299",,"190,299","176,345",,"176,345","126,085",,"126,085",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,81,0603161D8Z,"Nuclear Matters, Advanced Component Development & Prototypes",Y,"62,091",,"62,091","55,308",,"55,308","44,685",,"44,685",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,82,0603600D8Z,WALKOFF,Y,"146,245",,"146,245","151,244",,"151,244","227,158",,"227,158",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,83,0603851D8Z,Environmental Security Technical Certification Program,Y,"147,548",,"147,548","123,298",,"123,298","125,066",,"125,066",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,84,0603881C,Ballistic Missile Defense Terminal Defense Segment,Y,"287,414",,"287,414","465,312",,"465,312",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,85,0603882C,Ballistic Missile Defense Midcourse Defense Segment,Y,"739,110",,"739,110","757,164",,"757,164","1,360,611",,"1,360,611",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",CBDP,04,Advanced component development and prototypes,86,0603884BP,Chemical and Biological Defense Program - Dem/Val,Y,"283,725",,"283,725","267,204",,"267,204","391,307",,"391,307",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,87,0603884C,Ballistic Missile Defense Sensors,Y,"226,654",,"226,654","181,320","8,000","189,320","865,420",,"865,420",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,88,0603890C,BMD Enabling Programs,Y,"611,095",,"611,095","599,861",,"599,861","1,457,437",,"1,457,437",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,89,0603891C,Special Programs - MDA,Y,"477,352",,"477,352","443,130","77,000","520,130","1,742,778",,"1,742,778",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,90,0603892C,AEGIS BMD,Y,"653,640",,"653,640","550,988",,"550,988","927,870",,"927,870",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,91,0603896C,"Ballistic Missile Defense Command and Control, Battle Management and Communications (C2BMC)",Y,"567,620",,"567,620","597,396","23,000","620,396","939,987",,"939,987",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,92,0603898C,Ballistic Missile Defense Joint Warfighter Support,Y,"49,233",,"49,233","45,545",,"45,545","50,430",,"50,430",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,93,0603904C,Missile Defense Integration & Operations Center (MDIOC),Y,"53,551",,"53,551","51,514",,"51,514","57,892",,"57,892",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,94,0603906C,Regarding Trench,Y,"27,371",,"27,371","28,342",,"28,342","29,807",,"29,807",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,95,0603907C,Sea Based X-Band Radar (SBX),Y,"193,958",,"193,958","166,813",,"166,813","274,204",,"274,204",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,96,0603913C,Israeli Cooperative Programs,Y,"300,000",,"300,000","300,000",,"300,000","300,000",,"300,000",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,97,0603914C,Ballistic Missile Defense Test,Y,"355,503",,"355,503","459,074","530,000","989,074","1,065,474",,"1,065,474",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,98,0603915C,Ballistic Missile Defense Targets,Y,"601,524",,"601,524","514,882",,"514,882","518,506",,"518,506",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,99,0603923D8Z,Coalition Warfare,Y,"9,828",,"9,828","10,062",,"10,062","10,082",,"10,082",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,100,0604011D8Z,Next Generation Information Communications Technology (5G),Y,"89,270",,"89,270","71,278",,"71,278",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,101,0604016D8Z,Department of Defense Corrosion Program,Y,"2,600",,"2,600","2,545",,"2,545","2,675",,"2,675",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,102,0604023D8Z,Joint Munitions Component Prototyping,Y,,,,,,,"7,893",,"7,893",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,103,0604102C,Guam Defense Development,Y,"412,042",,"412,042","127,742","44,500","172,242","212,413",,"212,413",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,104,0604115C,Technology Maturation Initiatives,Y,"2,500",,"2,500","5,000",,"5,000","59,700",,"59,700",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,105,0604124D8Z,Chief Digital and Artificial Intelligence Officer (CDAO) - MIP,Y,"10,315",,"10,315",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,106,0604125D8Z,Advanced Manufacturing Components and Prototypes,Y,"21,193",,"21,193","64,801",,"64,801","52,122",,"52,122",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,107,0604162D8Z,Chemical and Biological Weapons Elimination Technology Development,Y,,,,,,,945,,945,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,108,0604181C,Hypersonic Defense,Y,"175,893",,"175,893","182,990",,"182,990","213,783",,"213,783",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,109,0604250D8Z,Advanced Innovative Technologies,Y,"914,593",,"914,593","770,844","1,002,000","1,772,844","2,626,130",,"2,626,130",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,110,0604294D8Z,Trusted & Assured Microelectronics,Y,"638,321","150,000","788,321","549,186",,"549,186","156,743",,"156,743",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,111,0604331D8Z,Rapid Prototyping Program,Y,"67,434",,"67,434","232,635","706,200","938,835","238,800","1,394,000","1,632,800",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",TJS,04,Advanced component development and prototypes,112,0604331J,Rapid Prototyping Program,Y,"7,429",,"7,429",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,113,0604341D8Z,Defense Innovation Unit (DIU) Prototyping,Y,"31,700",,"31,700","15,000",,"15,000",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,114,0604400D8Z,Department of Defense (DoD) Unmanned System Common Development,Y,"9,178",,"9,178","11,971","1,000,000","1,011,971","2,024","34,627","36,651",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,115,0604539D8Z,Defense Autonomous Warfare Group,Y,,,,,"225,900","225,900","1,000,000","53,599,650","54,599,650",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DTRA,04,Advanced component development and prototypes,116,0604551BR,Catapult Information System,Y,"7,290",,"7,290","3,992",,"3,992","7,500",,"7,500",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,117,0604555D8Z,Operational Energy Prototyping - Non S&T,Y,"48,723",,"48,723","65,462","29,000","94,462","53,505",,"53,505",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,118,0604669D8Z,Microelectronics Commons - Advanced Component Development (ACD),Y,"62,704",,"62,704",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,119,0604679D8Z,Office of Strategic Capital (OSC),Y,,,,"2,000",,"2,000","18,955",,"18,955",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,120,0604682D8Z,Support for Strategic Analysis,Y,"1,502",,"1,502","2,737",,"2,737","2,802",,"2,802",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,121,0604790D8Z,Rapid Defense Experimentation Reserve (RDER),Y,"23,052",,"23,052",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,122,0604791D8Z,Multi-Domain Joint Operations (MDJO),Y,,,,"2,310","1,000","3,310","32,001","2,400,000","2,432,001",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,123,0604797D8Z,Joint Energetic Transition Office,Y,,,,"2,986","1,000","3,986","6,278","500,000","506,278",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",TJS,04,Advanced component development and prototypes,124,0604826J,"Joint C5 Capability Development, Integration and interoperability Assessments",Y,"28,897",,"28,897","25,706",,"25,706","28,314",,"28,314",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,125,0604834D8Z,Biosurveillance Program Development & Prototyping,Y,,,,,,,"7,000",,"7,000",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,126,0604873C,Long Range Discrimination Radar (LRDR),Y,"95,584",,"95,584","55,856",,"55,856","125,074",,"125,074",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,127,0604874C,Improved Homeland Defense Interceptors,Y,"1,619,530",,"1,619,530","1,510,505",,"1,510,505","1,344,824",,"1,344,824",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,128,0604876C,Ballistic Missile Defense Terminal Defense Segment Test,Y,"25,323",,"25,323","37,784",,"37,784",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,129,0604878C,Aegis BMD Test,Y,"113,913",,"113,913","143,618",,"143,618","61,969",,"61,969",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,130,0604879C,Ballistic Missile Defense Sensor Test,Y,"95,551",,"95,551","68,699",,"68,699","52,919",,"52,919",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,131,0604880C,Land-Based SM-3 (LBSM3),Y,"21,631",,"21,631","24,309",,"24,309","25,102",,"25,102",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,132,0604887C,Ballistic Missile Defense Midcourse Segment Test,Y,"39,787",,"39,787","38,325",,"38,325","53,761",,"53,761",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,133,0604924D8Z,High Energy Laser Advanced Component Development & Prototype,Y,"2,850",,"2,850","5,528",,"5,528","44,485",,"44,485",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,134,0202057C,Safety Program Management,Y,"2,118",,"2,118","1,801",,"1,801","2,146",,"2,146",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",CYBER,04,Advanced component development and prototypes,135,0208059JCY,CYBERCOM Activities,Y,"35,700",,"35,700","30,212",,"30,212","31,735",,"31,735",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",CYBER,04,Advanced component development and prototypes,136,0208085JCY,Robust Infrastructure and Access,Y,"78,813",,"78,813",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",CYBER,04,Advanced component development and prototypes,137,0208086JCY,Cyber Training Environment (CTE),Y,"149,145",,"149,145","124,971",,"124,971","120,814",,"120,814",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DCAA,04,Advanced component development and prototypes,138,0300206R,Enterprise Information Technology Systems,Y,"2,162",,"2,162",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,139,0305103C,Cyber Security Initiative,Y,"1,895",,"1,895","2,104",,"2,104","2,160",,"2,160",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,140,0305245D8Z,Intelligence Capabilities and Innovation Investments,Y,"51,784",,"51,784","43,596",,"43,596","15,047",,"15,047",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,04,Advanced component development and prototypes,141,0901579D8Z,Office of Strategic Capital (OSC),Y,"45,410",,"45,410",,"20,000","20,000",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",MDA,04,Advanced component development and prototypes,142,1206895C,Ballistic Missile Defense System Space Programs,Y,"115,442",,"115,442","71,263",,"71,263","95,819",,"95,819",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,143,0604122D8Z,JADC2 Development and Experimentation Activities,Y,"141,598",,"141,598",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,144,0604123D8Z,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,Y,"330,307",,"330,307","9,066","5,000","14,066","11,197",,"11,197",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,145,0604133D8Z,Alpha-1 Development Activities,Y,"48,506",,"48,506","395,882","250,000","645,882","969,825","500,000","1,469,825",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,146,0604161D8Z,"Nuclear Matters, System Development & Demonstration",Y,"13,274",,"13,274","12,790",,"12,790","14,919",,"14,919",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",CBDP,05,System development and demonstration,147,0604384BP,Chemical and Biological Defense Program - EMD,Y,"251,407",,"251,407","231,539",,"231,539","261,947",,"261,947",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,148,0604771D8Z,Joint Tactical Information Distribution System (JTIDS),Y,"12,426",,"12,426","10,380",,"10,380","10,200","23,129","33,329",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DTRA,05,System development and demonstration,149,0605000BR,Counter Weapons of Mass Destruction Systems Development,Y,"14,474",,"14,474","14,777",,"14,777","16,713",,"16,713",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DCMA,05,System development and demonstration,150,0605013BL,Information Technology Development,Y,"4,546",,"4,546","1,192",,"1,192","13,620",,"13,620",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DHRA,05,System development and demonstration,151,0605021SE,Homeland Personnel Security Initiative,Y,"9,526",,"9,526","9,137",,"9,137","9,334",,"9,334",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,152,0605022D8Z,Defense Exportability Program,Y,"15,201",,"15,201","6,684","500,000","506,684","5,943",,"5,943",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,153,0605027D8Z,OUSD(C) IT Development Initiatives,Y,"7,287",,"7,287","9,627","14,000","23,627","273,253",,"273,253",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DLA,05,System development and demonstration,154,0605080S,Defense Agency Initiatives (DAI) - Financial System,Y,"30,813",,"30,813","31,714","20,000","51,714","51,265",,"51,265",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DTRA,05,System development and demonstration,155,0605141BR,Mission Assurance Risk Management System (MARMS),Y,"9,207",,"9,207","9,573",,"9,573",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,156,0605210D8Z,Defense-Wide Electronic Procurement Capabilities,Y,"9,138",,"9,138","9,234",,"9,234","7,918","17,607","25,525",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,157,0605294D8Z,Trusted & Assured Microelectronics,Y,"145,532",,"145,532","132,785",,"132,785","51,202",,"51,202",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,158,0605310D8Z,Military Aviation and Installation Assurance Siting Clearinghouse,Y,,,,,,,"4,072",,"4,072",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,159,0605649D8Z,Acquisition Integration and Interoperability (AI2),Y,"14,167",,"14,167","13,365",,"13,365","92,689","575,868","668,557",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,160,0605755D8Z,Radiological and Nuclear Defense Modernization System Development and Demonstration,Y,"2,041",,"2,041","3,293",,"3,293","3,090",,"3,090",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,161,0605772D8Z,"Nuclear Command, Control, & Communications",Y,"3,708",,"3,708","3,114",,"3,114","2,985","7,975","10,960",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",TJS,05,System development and demonstration,162,0205401JCA,Counter - Small Unmanned Aircraft Systems (JIATF-401),Y,,,,,"6,500","6,500","580,348",,"580,348",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,163,0305282D8Z,Joint Fires Network (JFN),Y,,,,,"10,075","10,075",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DISA,05,System development and demonstration,164,0305282K,Joint Fires Network (JFN),Y,,,,"10,000",,"10,000","35,000",,"35,000",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,165,0305304D8Z,Real Property Analytics,Y,"6,890",,"6,890","6,382","3,000","9,382","2,573",,"2,573",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,166,0305310D8Z,Counterproliferation Advanced Development,Y,"12,847",,"12,847","12,105",,"12,105","12,751",,"12,751",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,05,System development and demonstration,167,0505167D8Z,Radiological and Nuclear Defense Modernization,Y,"1,497",,"1,497",,,,,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",TJS,06,Management support,168,0603829J,Joint Capability Experimentation,Y,"11,926",,"11,926","13,724",,"13,724","12,332",,"12,332",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,169,0604122D8Z,JADC2 Development and Experimentation Activities,Y,"271,605",,"271,605","293,597","275,000","568,597","2,109,895",,"2,109,895",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,170,0604538D8Z,Economic Defense Unit (EDU),Y,,,,,"266,450","266,450",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,171,0604774D8Z,Defense Readiness Reporting System (DRRS),Y,"11,205",,"11,205","8,492",,"8,492","8,921",,"8,921",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,172,0604875D8Z,Joint Systems Architecture Development,Y,"9,371",,"9,371","8,510",,"8,510","11,094",,"11,094",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,173,0604940D8Z,Central Test and Evaluation Investment Development (CTEIP),Y,"803,846",,"803,846","807,503",,"807,503","1,153,754",,"1,153,754",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,174,0604942D8Z,Assessments and Evaluations,Y,"1,448",,"1,448","1,257",,"1,257",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",DARPA,06,Management support,175,0605001E,Mission Support,Y,"122,998",,"122,998","115,673",,"115,673","108,101",,"108,101",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,176,0605100D8Z,Joint Mission Environment Test Capability (JMETC),Y,"192,258",,"192,258","189,690","250,000","439,690","234,700",,"234,700",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",TJS,06,Management support,177,0605126J,Joint Integrated Air and Missile Defense Organization (JIAMDO),Y,"63,420",,"63,420","69,706",,"69,706","69,820",,"69,820",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,178,0605128D8Z,Classified Program USD(P),Y,"180,906",,"180,906","189,800",,"189,800",,,,U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,179,0605131D8Z,Live Fire Testing,Y,,,,,,,"9,020",,"9,020",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,180,0605142D8Z,Systems Engineering,Y,"23,910",,"23,910","24,606",,"24,606","21,992",,"21,992",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,181,0605151D8Z,Studies and Analysis Support - OSD,Y,"6,174",,"6,174","5,264",,"5,264","5,255",,"5,255",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,182,0605161D8Z,Nuclear Matters Management Support,Y,"18,052",,"18,052","12,384","15,000","27,384","21,862",,"21,862",U
0400D,"Research, Development, Test and Evaluation, Defense-Wide",OSD,06,Management support,183,0605170D8Z,Support to Networks and Information Integration,Y,"9,366",,"9,366","15,496",,"15,496","26,878",,"26,878",U
